trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,error_type
1.0,8.955,1.0,5.0,,,,2.0,4.0,5,5,2021.0,4028.0,2.0,1.0,1.0,5.0,5.0,,Different,correct
2.0,4.0616,1.0,1.0,,,,1.0,1.0,1,1,1012.0,1015.0,1.0,2.0,1.0,1.0,1.0,,Same,correct
3.0,3.4608,1.0,1.0,,,,3.0,2.0,1,1,3011.0,2018.0,2.0,2.0,1.0,1.0,1.0,,Different,correct
4.0,2.4619,0.0,1.0,,,,4.0,4.0,5,1,4029.0,4014.0,4.0,1.0,1.0,5.0,5.0,,Same,same category
5.0,10.5215,1.0,0.0,,,,2.0,2.0,5,1,2029.0,2011.0,3.0,2.0,0.0,0.0,0.0,,Same,correct
6.0,3.6918,1.0,0.0,,,,1.0,4.0,5,5,1029.0,4025.0,1.0,2.0,0.0,0.0,0.0,,Different,correct
7.0,1.8739,1.0,5.0,,,,3.0,4.0,5,1,3027.0,4018.0,3.0,1.0,1.0,5.0,5.0,,Different,correct
8.0,7.402,1.0,5.0,,,,3.0,4.0,5,1,3022.0,4016.0,3.0,1.0,1.0,5.0,5.0,,Different,correct
9.0,5.8353,1.0,0.0,,,,2.0,2.0,5,5,2024.0,2026.0,3.0,1.0,0.0,0.0,0.0,,Same,correct
10.0,4.6712,1.0,0.0,,,,3.0,2.0,1,5,3015.0,2029.0,2.0,1.0,0.0,0.0,0.0,5.2935,Different,correct
11.0,3.6317,1.0,5.0,,,,2.0,4.0,5,1,2021.0,4011.0,2.0,1.0,1.0,5.0,5.0,4.76117,Different,correct
12.0,1.7933,1.0,5.0,,,,1.0,1.0,5,5,1021.0,1026.0,1.0,2.0,1.0,5.0,5.0,4.53434,Same,correct
13.0,2.1876,1.0,1.0,,,,2.0,2.0,1,1,2014.0,2018.0,2.0,2.0,1.0,1.0,1.0,4.40702,Same,correct
14.0,3.2635,1.0,1.0,,,,3.0,2.0,1,1,3014.0,2015.0,2.0,2.0,1.0,1.0,1.0,4.4871799999999995,Different,correct
15.0,7.4872,1.0,1.0,,,,3.0,2.0,1,1,3015.0,2012.0,2.0,2.0,1.0,1.0,1.0,4.18375,Different,correct
16.0,2.0722,1.0,5.0,,,,3.0,3.0,5,5,3029.0,3023.0,3.0,2.0,1.0,5.0,5.0,4.02179,Same,correct
17.0,2.8856,0.0,1.0,,,,3.0,4.0,5,1,3028.0,4011.0,4.0,1.0,0.0,0.0,0.0,4.12296,Different,swap error
18.0,16.6134,0.0,5.0,,,,4.0,4.0,1,5,4011.0,4024.0,4.0,1.0,1.0,1.0,1.0,5.0441,Same,same category
19.0,46.1802,0.0,0.0,,,,1.0,3.0,5,1,1023.0,3017.0,1.0,1.0,1.0,5.0,5.0,9.07859,Different,swap error
20.0,16.4313,1.0,5.0,,,,2.0,1.0,5,5,2027.0,1021.0,1.0,2.0,1.0,5.0,5.0,10.2546,Different,correct
21.0,2.1805,1.0,5.0,,,,1.0,1.0,5,5,1027.0,1028.0,1.0,2.0,1.0,5.0,5.0,10.109480000000001,Same,correct
22.0,21.0131,1.0,0.0,,,,3.0,4.0,5,1,3021.0,4016.0,4.0,1.0,0.0,0.0,0.0,12.03146,Different,correct
23.0,13.7493,1.0,5.0,,,,1.0,4.0,5,5,1028.0,4022.0,1.0,1.0,1.0,5.0,5.0,13.187629999999999,Different,correct
24.0,5.9454,1.0,0.0,,,,1.0,4.0,1,1,1015.0,4014.0,4.0,1.0,0.0,0.0,0.0,13.45582,Different,correct
25.0,20.1401,1.0,0.0,,,,3.0,1.0,5,1,3021.0,1019.0,3.0,2.0,0.0,0.0,0.0,14.721110000000001,Different,correct
26.0,82.5783,1.0,1.0,,,,3.0,3.0,5,1,3024.0,3018.0,3.0,2.0,1.0,1.0,1.0,22.77172,Same,correct
27.0,15.3148,1.0,1.0,,,,2.0,3.0,5,1,2026.0,3015.0,3.0,2.0,1.0,1.0,1.0,24.01464,Different,correct
28.0,22.555,1.0,1.0,,,,1.0,1.0,1,1,1012.0,1017.0,1.0,1.0,1.0,1.0,1.0,24.6088,Same,correct
29.0,11.1473,1.0,0.0,,,,4.0,2.0,1,5,4013.0,2029.0,2.0,1.0,0.0,0.0,0.0,21.105510000000002,Different,correct
30.0,3.6287,1.0,1.0,,,,4.0,2.0,1,1,4017.0,2013.0,2.0,2.0,1.0,1.0,1.0,19.82525,Different,correct
31.0,11.2288,0.0,0.0,,,,2.0,4.0,5,1,2028.0,4017.0,4.0,2.0,1.0,1.0,1.0,20.730079999999997,Different,swap error
32.0,27.8653,1.0,5.0,,,,3.0,4.0,5,1,3026.0,4019.0,3.0,1.0,1.0,5.0,5.0,21.4153,Different,correct
33.0,4.6043,0.0,0.0,,,,2.0,4.0,5,1,2023.0,4011.0,4.0,2.0,1.0,1.0,1.0,20.5008,Different,swap error
34.0,13.9905,1.0,5.0,,,,2.0,4.0,5,5,2022.0,4028.0,4.0,2.0,1.0,5.0,5.0,21.30531,Different,correct
35.0,13.9273,0.0,1.0,,,,2.0,4.0,1,1,2013.0,4017.0,2.0,2.0,0.0,0.0,0.0,20.68403,Different,swap error
36.0,3.5633,1.0,1.0,,,,3.0,3.0,1,1,3016.0,3011.0,3.0,1.0,1.0,1.0,1.0,12.78253,Same,correct
37.0,6.4836,1.0,0.0,,,,1.0,3.0,1,5,1015.0,3029.0,1.0,2.0,0.0,0.0,0.0,11.89941,Different,correct
38.0,23.7235,1.0,1.0,,,,1.0,1.0,1,1,1015.0,1014.0,1.0,2.0,1.0,1.0,1.0,12.016259999999999,Same,correct
39.0,4.2815,1.0,5.0,,,,2.0,3.0,1,5,2018.0,3025.0,3.0,2.0,1.0,5.0,5.0,11.32968,Different,correct
