trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,num_comparison,error_type
1.0,34.010902404785156,1.0,5.0,,,,2.0,4.0,5,5,2021.0,4028.0,2.0,1.0,1.0,5.0,5.0,,Different,Same,correct
2.0,4.876960754394531,1.0,1.0,,,,1.0,1.0,1,1,1012.0,1015.0,1.0,2.0,1.0,1.0,1.0,,Same,Same,correct
3.0,10.970422983169556,1.0,1.0,,,,3.0,2.0,1,1,3011.0,2018.0,2.0,2.0,1.0,1.0,1.0,,Different,Same,correct
4.0,13.660557508468628,1.0,5.0,,,,4.0,4.0,5,1,4029.0,4014.0,4.0,1.0,1.0,5.0,5.0,,Same,Different,correct
5.0,6.6332409381866455,1.0,0.0,,,,2.0,2.0,5,1,2029.0,2011.0,3.0,2.0,0.0,0.0,0.0,,Same,Different,correct
6.0,18.637691497802734,1.0,0.0,,,,1.0,4.0,5,5,1029.0,4025.0,1.0,2.0,0.0,0.0,0.0,,Different,Same,correct
7.0,9.193111896514893,1.0,5.0,,,,3.0,4.0,5,1,3027.0,4018.0,3.0,1.0,1.0,5.0,5.0,,Different,Different,correct
8.0,6.328911781311035,1.0,5.0,,,,3.0,4.0,5,1,3022.0,4016.0,3.0,1.0,1.0,5.0,5.0,,Different,Different,correct
9.0,6.318050861358643,1.0,0.0,,,,2.0,2.0,5,5,2024.0,2026.0,3.0,1.0,0.0,0.0,0.0,,Same,Same,correct
10.0,16.427201986312866,1.0,0.0,,,,3.0,2.0,1,5,3015.0,2029.0,2.0,1.0,0.0,0.0,0.0,12.705705261230468,Different,Different,correct
11.0,9.542253494262695,1.0,5.0,,,,2.0,4.0,5,1,2021.0,4011.0,2.0,1.0,1.0,5.0,5.0,10.258840370178223,Different,Different,correct
12.0,7.751486301422119,1.0,5.0,,,,1.0,1.0,5,5,1021.0,1026.0,1.0,2.0,1.0,5.0,5.0,10.546292924880982,Same,Same,correct
13.0,6.4471166133880615,1.0,1.0,,,,2.0,2.0,1,1,2014.0,2018.0,2.0,2.0,1.0,1.0,1.0,10.093962287902832,Same,Same,correct
14.0,4.0866053104400635,1.0,1.0,,,,3.0,2.0,1,1,3014.0,2015.0,2.0,2.0,1.0,1.0,1.0,9.136567068099975,Different,Same,correct
15.0,5.423463344573975,1.0,1.0,,,,3.0,2.0,1,1,3015.0,2012.0,2.0,2.0,1.0,1.0,1.0,9.015589308738708,Different,Same,correct
16.0,6.225789308547974,1.0,5.0,,,,3.0,3.0,5,5,3029.0,3023.0,3.0,2.0,1.0,5.0,5.0,7.774399089813232,Same,Same,correct
17.0,4.758175611495972,0.0,5.0,,,,3.0,4.0,5,1,3028.0,4011.0,4.0,1.0,0.0,0.0,0.0,7.330905461311341,Different,Different,other error
18.0,4.553547143936157,1.0,1.0,,,,4.0,4.0,1,5,4011.0,4024.0,4.0,1.0,1.0,1.0,1.0,7.153368997573852,Same,Different,correct
19.0,6.245457887649536,1.0,5.0,,,,1.0,3.0,5,1,1023.0,3017.0,1.0,1.0,1.0,5.0,5.0,7.146109700202942,Different,Different,correct
20.0,5.9215850830078125,1.0,5.0,,,,2.0,1.0,5,5,2027.0,1021.0,1.0,2.0,1.0,5.0,5.0,6.095548009872436,Different,Same,correct
21.0,4.591998100280762,1.0,5.0,,,,1.0,1.0,5,5,1027.0,1028.0,1.0,2.0,1.0,5.0,5.0,5.600522470474243,Same,Same,correct
22.0,7.3812010288238525,0.0,1.0,,,,3.0,4.0,5,1,3021.0,4016.0,4.0,1.0,0.0,0.0,0.0,5.563493943214416,Different,Different,swap error
23.0,4.895631790161133,1.0,5.0,,,,1.0,4.0,5,5,1028.0,4022.0,1.0,1.0,1.0,5.0,5.0,5.408345460891724,Different,Same,correct
24.0,8.597066402435303,1.0,0.0,,,,1.0,4.0,1,1,1015.0,4014.0,4.0,1.0,0.0,0.0,0.0,5.859391570091248,Different,Same,correct
25.0,4.048814058303833,0.0,5.0,,,,3.0,1.0,5,1,3021.0,1019.0,3.0,2.0,0.0,0.0,0.0,5.721926641464234,Different,Different,swap error
26.0,11.049250602722168,1.0,1.0,,,,3.0,3.0,5,1,3024.0,3018.0,3.0,2.0,1.0,1.0,1.0,6.204272770881653,Same,Different,correct
27.0,3.518742084503174,1.0,1.0,,,,2.0,3.0,5,1,2026.0,3015.0,3.0,2.0,1.0,1.0,1.0,6.080329418182373,Different,Different,correct
28.0,3.394505262374878,1.0,1.0,,,,1.0,1.0,1,1,1012.0,1017.0,1.0,1.0,1.0,1.0,1.0,5.9644252300262455,Same,Same,correct
29.0,2.909639358520508,0.0,5.0,,,,4.0,2.0,1,5,4013.0,2029.0,2.0,1.0,0.0,0.0,0.0,5.630843377113342,Different,Different,swap error
30.0,4.001917123794556,1.0,1.0,,,,4.0,2.0,1,1,4017.0,2013.0,2.0,2.0,1.0,1.0,1.0,5.438876581192017,Different,Same,correct
31.0,4.6708903312683105,1.0,1.0,,,,2.0,4.0,5,1,2028.0,4017.0,4.0,2.0,1.0,1.0,1.0,5.446765804290772,Different,Different,correct
32.0,3.7072691917419434,1.0,5.0,,,,3.0,4.0,5,1,3026.0,4019.0,3.0,1.0,1.0,5.0,5.0,5.07937262058258,Different,Different,correct
33.0,5.881413459777832,1.0,1.0,,,,2.0,4.0,5,1,2023.0,4011.0,4.0,2.0,1.0,1.0,1.0,5.17795078754425,Different,Different,correct
34.0,2.8471317291259766,1.0,5.0,,,,2.0,4.0,5,5,2022.0,4028.0,4.0,2.0,1.0,5.0,5.0,4.602957320213318,Different,Same,correct
35.0,7.871147394180298,1.0,0.0,,,,2.0,4.0,1,1,2013.0,4017.0,2.0,2.0,0.0,0.0,0.0,4.985190653800965,Different,Same,correct
36.0,5.6264402866363525,1.0,1.0,,,,3.0,3.0,1,1,3016.0,3011.0,3.0,1.0,1.0,1.0,1.0,4.442909622192383,Same,Same,correct
37.0,4.801890850067139,1.0,0.0,,,,1.0,3.0,1,5,1015.0,3029.0,1.0,2.0,0.0,0.0,0.0,4.571224498748779,Different,Different,correct
38.0,5.112117290496826,1.0,1.0,,,,1.0,1.0,1,1,1015.0,1014.0,1.0,2.0,1.0,1.0,1.0,4.742985701560974,Same,Same,correct
39.0,2.77578067779541,1.0,5.0,,,,2.0,3.0,1,5,2018.0,3025.0,3.0,2.0,1.0,5.0,5.0,4.729599833488464,Different,Different,correct
