trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,num_comparison,error_type
1.0,2.335284471511841,1.0,5.0,,,,2.0,4.0,5,5,2021.0,4028.0,2.0,1.0,1.0,5.0,5.0,,Different,Same,correct
2.0,2.6413516998291016,1.0,1.0,,,,1.0,1.0,1,1,1012.0,1015.0,1.0,2.0,1.0,1.0,1.0,,Same,Same,correct
3.0,2.3175222873687744,1.0,1.0,,,,3.0,2.0,1,1,3011.0,2018.0,2.0,2.0,1.0,1.0,1.0,,Different,Same,correct
4.0,1.922224760055542,1.0,5.0,,,,4.0,4.0,5,1,4029.0,4014.0,4.0,1.0,1.0,5.0,5.0,,Same,Different,correct
5.0,2.1203999519348145,1.0,0.0,,,,2.0,2.0,5,1,2029.0,2011.0,3.0,2.0,0.0,0.0,0.0,,Same,Different,correct
6.0,3.407883405685425,1.0,0.0,,,,1.0,4.0,5,5,1029.0,4025.0,1.0,2.0,0.0,0.0,0.0,,Different,Same,correct
7.0,4.712370872497559,1.0,5.0,,,,3.0,4.0,5,1,3027.0,4018.0,3.0,1.0,1.0,5.0,5.0,,Different,Different,correct
8.0,5.206594467163086,1.0,5.0,,,,3.0,4.0,5,1,3022.0,4016.0,3.0,1.0,1.0,5.0,5.0,,Different,Different,correct
9.0,4.166473865509033,1.0,0.0,,,,2.0,2.0,5,5,2024.0,2026.0,3.0,1.0,0.0,0.0,0.0,,Same,Same,correct
10.0,4.249502420425415,1.0,0.0,,,,3.0,2.0,1,5,3015.0,2029.0,2.0,1.0,0.0,0.0,0.0,3.3079608201980593,Different,Different,correct
11.0,2.487706422805786,1.0,5.0,,,,2.0,4.0,5,1,2021.0,4011.0,2.0,1.0,1.0,5.0,5.0,3.3232030153274534,Different,Different,correct
12.0,3.153320550918579,1.0,5.0,,,,1.0,1.0,5,5,1021.0,1026.0,1.0,2.0,1.0,5.0,5.0,3.3743999004364014,Same,Same,correct
13.0,2.628516435623169,1.0,1.0,,,,2.0,2.0,1,1,2014.0,2018.0,2.0,2.0,1.0,1.0,1.0,3.405499315261841,Same,Same,correct
14.0,2.3819472789764404,1.0,1.0,,,,3.0,2.0,1,1,3014.0,2015.0,2.0,2.0,1.0,1.0,1.0,3.4514715671539307,Different,Same,correct
15.0,4.61795711517334,1.0,1.0,,,,3.0,2.0,1,1,3015.0,2012.0,2.0,2.0,1.0,1.0,1.0,3.7012272834777833,Different,Same,correct
16.0,1.9721062183380127,1.0,5.0,,,,3.0,3.0,5,5,3029.0,3023.0,3.0,2.0,1.0,5.0,5.0,3.557649564743042,Same,Same,correct
17.0,2.003774404525757,0.0,1.0,,,,3.0,4.0,5,1,3028.0,4011.0,4.0,1.0,0.0,0.0,0.0,3.2867899179458617,Different,Different,swap error
18.0,0.736905574798584,0.0,5.0,,,,4.0,4.0,1,5,4011.0,4024.0,4.0,1.0,1.0,1.0,1.0,2.8398210287094114,Same,Different,same category
19.0,2.7158875465393066,1.0,5.0,,,,1.0,3.0,5,1,1023.0,3017.0,1.0,1.0,1.0,5.0,5.0,2.694762396812439,Different,Different,correct
20.0,5.091326475143433,1.0,5.0,,,,2.0,1.0,5,5,2027.0,1021.0,1.0,2.0,1.0,5.0,5.0,2.778944802284241,Different,Same,correct
21.0,1.1412668228149414,1.0,5.0,,,,1.0,1.0,5,5,1027.0,1028.0,1.0,2.0,1.0,5.0,5.0,2.644300842285156,Same,Same,correct
