set,category,item_number,item_condition,filename,image_path,resmem_score,memnet_score
stimuli1,Animal,10,1,10.jpg,..\psychophysics_WM\stimuli1\Animal\10.jpg,0.8263240456581116,0.7819811701774597
stimuli1,Animal,11,1,11.jpg,..\psychophysics_WM\stimuli1\Animal\11.jpg,0.7517563104629517,0.7806300520896912
stimuli1,Animal,12,1,12.jpg,..\psychophysics_WM\stimuli1\Animal\12.jpg,0.8838632106781006,0.754129946231842
stimuli1,Animal,13,1,13.jpg,..\psychophysics_WM\stimuli1\Animal\13.jpg,0.7812852263450623,0.8203061819076538
stimuli1,Animal,14,1,14.jpg,..\psychophysics_WM\stimuli1\Animal\14.jpg,0.8845608234405518,0.8507968783378601
stimuli1,Animal,15,1,15.jpg,..\psychophysics_WM\stimuli1\Animal\15.jpg,0.9069066643714905,0.8723921775817871
stimuli1,Animal,16,1,16.jpg,..\psychophysics_WM\stimuli1\Animal\16.jpg,0.8600395321846008,0.8502910137176514
stimuli1,Animal,17,1,17.jpg,..\psychophysics_WM\stimuli1\Animal\17.jpg,0.7804194688796997,0.7923112511634827
stimuli1,Animal,18,1,18.jpg,..\psychophysics_WM\stimuli1\Animal\18.jpg,0.8468808531761169,0.8002772331237793
stimuli1,Animal,19,1,19.jpg,..\psychophysics_WM\stimuli1\Animal\19.jpg,0.7621561288833618,0.8501795530319214
stimuli1,Animal,20,5,20.jpg,..\psychophysics_WM\stimuli1\Animal\20.jpg,0.8359112739562988,0.8620989918708801
stimuli1,Animal,21,5,21.jpg,..\psychophysics_WM\stimuli1\Animal\21.jpg,0.72807377576828,0.7804260849952698
stimuli1,Animal,22,5,22.jpg,..\psychophysics_WM\stimuli1\Animal\22.jpg,0.8237981200218201,0.8218153715133667
stimuli1,Animal,23,5,23.jpg,..\psychophysics_WM\stimuli1\Animal\23.jpg,0.8048498034477234,0.8543996810913086
stimuli1,Animal,24,5,24.jpg,..\psychophysics_WM\stimuli1\Animal\24.jpg,0.8290371894836426,0.7763158082962036
stimuli1,Animal,25,5,25.jpg,..\psychophysics_WM\stimuli1\Animal\25.jpg,0.8203009963035583,0.8041322827339172
stimuli1,Animal,26,5,26.jpg,..\psychophysics_WM\stimuli1\Animal\26.jpg,0.7389228940010071,0.7331650853157043
stimuli1,Animal,27,5,27.jpg,..\psychophysics_WM\stimuli1\Animal\27.jpg,0.7755087018013,0.8175116181373596
stimuli1,Animal,28,5,28.jpg,..\psychophysics_WM\stimuli1\Animal\28.jpg,0.8330631256103516,0.8668608665466309
stimuli1,Animal,29,5,29.jpg,..\psychophysics_WM\stimuli1\Animal\29.jpg,0.8441066741943359,0.7515972852706909
stimuli1,Car,10,1,10.jpg,..\psychophysics_WM\stimuli1\Car\10.jpg,0.6677808165550232,0.820186972618103
stimuli1,Car,11,1,11.jpg,..\psychophysics_WM\stimuli1\Car\11.jpg,0.7818304300308228,0.7918269634246826
stimuli1,Car,12,1,12.jpg,..\psychophysics_WM\stimuli1\Car\12.jpg,0.8411064743995667,0.7831254005432129
stimuli1,Car,13,1,13.jpg,..\psychophysics_WM\stimuli1\Car\13.jpg,0.704894483089447,0.8297333717346191
stimuli1,Car,14,1,14.jpg,..\psychophysics_WM\stimuli1\Car\14.jpg,0.7926092147827148,0.7625164985656738
stimuli1,Car,15,1,15.jpg,..\psychophysics_WM\stimuli1\Car\15.jpg,0.803131103515625,0.8478716015815735
stimuli1,Car,16,1,16.jpg,..\psychophysics_WM\stimuli1\Car\16.jpg,0.7607621550559998,0.8015612959861755
stimuli1,Car,17,1,17.jpg,..\psychophysics_WM\stimuli1\Car\17.jpg,0.7052953839302063,0.7925945520401001
stimuli1,Car,18,1,18.jpg,..\psychophysics_WM\stimuli1\Car\18.jpg,0.7565979957580566,0.8235124945640564
stimuli1,Car,19,1,19.jpg,..\psychophysics_WM\stimuli1\Car\19.jpg,0.8086913824081421,0.8699962496757507
stimuli1,Car,20,5,20.jpg,..\psychophysics_WM\stimuli1\Car\20.jpg,0.8291051983833313,0.793955385684967
stimuli1,Car,21,5,21.jpg,..\psychophysics_WM\stimuli1\Car\21.jpg,0.9038761854171753,0.7349427938461304
stimuli1,Car,22,5,22.jpg,..\psychophysics_WM\stimuli1\Car\22.jpg,0.885351836681366,0.8682572841644287
stimuli1,Car,23,5,23.jpg,..\psychophysics_WM\stimuli1\Car\23.jpg,0.8945832252502441,0.801838755607605
stimuli1,Car,24,5,24.jpg,..\psychophysics_WM\stimuli1\Car\24.jpg,0.7011809945106506,0.8227896094322205
stimuli1,Car,25,5,25.jpg,..\psychophysics_WM\stimuli1\Car\25.jpg,0.7354527115821838,0.8320817947387695
stimuli1,Car,26,5,26.jpg,..\psychophysics_WM\stimuli1\Car\26.jpg,0.8203025460243225,0.7757245898246765
stimuli1,Car,27,5,27.jpg,..\psychophysics_WM\stimuli1\Car\27.jpg,0.8170433044433594,0.7972421646118164
stimuli1,Car,28,5,28.jpg,..\psychophysics_WM\stimuli1\Car\28.jpg,0.8492527008056641,0.7679142951965332
stimuli1,Car,29,5,29.jpg,..\psychophysics_WM\stimuli1\Car\29.jpg,0.6972813010215759,0.7573813199996948
stimuli1,Food,10,1,10.jpg,..\psychophysics_WM\stimuli1\Food\10.jpg,0.9530892968177795,0.9041677117347717
stimuli1,Food,11,1,11.jpg,..\psychophysics_WM\stimuli1\Food\11.jpg,0.8646788001060486,0.8259827494621277
stimuli1,Food,12,1,12.jpg,..\psychophysics_WM\stimuli1\Food\12.jpg,0.7988427877426147,0.8640024662017822
stimuli1,Food,13,1,13.jpg,..\psychophysics_WM\stimuli1\Food\13.jpg,0.9232168793678284,0.9044395685195923
stimuli1,Food,14,1,14.jpg,..\psychophysics_WM\stimuli1\Food\14.jpg,0.899577796459198,0.9126285314559937
stimuli1,Food,15,1,15.jpg,..\psychophysics_WM\stimuli1\Food\15.jpg,0.8656996488571167,0.8324562311172485
stimuli1,Food,16,1,16.jpg,..\psychophysics_WM\stimuli1\Food\16.jpg,0.970467209815979,0.9040893316268921
stimuli1,Food,17,1,17.jpg,..\psychophysics_WM\stimuli1\Food\17.jpg,0.8126149773597717,0.8469541072845459
stimuli1,Food,18,1,18.jpg,..\psychophysics_WM\stimuli1\Food\18.jpg,0.9161074161529541,0.9143997430801392
stimuli1,Food,19,1,19.jpg,..\psychophysics_WM\stimuli1\Food\19.jpg,0.8768435716629028,0.928767740726471
stimuli1,Food,20,5,20.jpg,..\psychophysics_WM\stimuli1\Food\20.jpg,0.9297268390655518,0.8554013967514038
stimuli1,Food,21,5,21.jpg,..\psychophysics_WM\stimuli1\Food\21.jpg,0.8170410394668579,0.8963356018066406
stimuli1,Food,22,5,22.jpg,..\psychophysics_WM\stimuli1\Food\22.jpg,0.9307599663734436,0.9124932289123535
stimuli1,Food,23,5,23.jpg,..\psychophysics_WM\stimuli1\Food\23.jpg,0.9418991208076477,0.9068350791931152
stimuli1,Food,24,5,24.jpg,..\psychophysics_WM\stimuli1\Food\24.jpg,0.9545955657958984,0.8806138634681702
stimuli1,Food,25,5,25.jpg,..\psychophysics_WM\stimuli1\Food\25.jpg,0.8900867104530334,0.843799352645874
stimuli1,Food,26,5,26.jpg,..\psychophysics_WM\stimuli1\Food\26.jpg,0.8599587082862854,0.8996063470840454
stimuli1,Food,27,5,27.jpg,..\psychophysics_WM\stimuli1\Food\27.jpg,0.7467194199562073,0.7840421199798584
stimuli1,Food,28,5,28.jpg,..\psychophysics_WM\stimuli1\Food\28.jpg,0.9621775150299072,0.8647106885910034
stimuli1,Food,29,5,29.jpg,..\psychophysics_WM\stimuli1\Food\29.jpg,0.9064481854438782,0.8350796699523926
stimuli1,Person,10,1,10.jpg,..\psychophysics_WM\stimuli1\Person\10.jpg,0.8785935044288635,0.8719085454940796
stimuli1,Person,11,1,11.jpg,..\psychophysics_WM\stimuli1\Person\11.jpg,0.8454561829566956,0.8196214437484741
stimuli1,Person,12,1,12.jpg,..\psychophysics_WM\stimuli1\Person\12.jpg,0.8793506026268005,0.8792999982833862
stimuli1,Person,13,1,13.jpg,..\psychophysics_WM\stimuli1\Person\13.jpg,0.8339276313781738,0.8339292407035828
stimuli1,Person,14,1,14.jpg,..\psychophysics_WM\stimuli1\Person\14.jpg,0.7719368934631348,0.8171192407608032
stimuli1,Person,15,1,15.jpg,..\psychophysics_WM\stimuli1\Person\15.jpg,0.8630996346473694,0.8808102607727051
stimuli1,Person,16,1,16.jpg,..\psychophysics_WM\stimuli1\Person\16.jpg,0.8596266508102417,0.8759658932685852
stimuli1,Person,17,1,17.jpg,..\psychophysics_WM\stimuli1\Person\17.jpg,0.8930313587188721,0.8776429295539856
stimuli1,Person,18,1,18.jpg,..\psychophysics_WM\stimuli1\Person\18.jpg,0.8066359162330627,0.8437067270278931
stimuli1,Person,19,1,19.jpg,..\psychophysics_WM\stimuli1\Person\19.jpg,0.8990174531936646,0.8737871646881104
stimuli1,Person,20,5,20.jpg,..\psychophysics_WM\stimuli1\Person\20.jpg,0.911787748336792,0.8866373300552368
stimuli1,Person,21,5,21.jpg,..\psychophysics_WM\stimuli1\Person\21.jpg,0.6111521124839783,0.8152685165405273
stimuli1,Person,22,5,22.jpg,..\psychophysics_WM\stimuli1\Person\22.jpg,0.8797500729560852,0.8243383169174194
stimuli1,Person,23,5,23.jpg,..\psychophysics_WM\stimuli1\Person\23.jpg,0.7335456013679504,0.788573682308197
stimuli1,Person,24,5,24.jpg,..\psychophysics_WM\stimuli1\Person\24.jpg,0.8768143057823181,0.8324030637741089
stimuli1,Person,25,5,25.jpg,..\psychophysics_WM\stimuli1\Person\25.jpg,0.8637490272521973,0.818000853061676
stimuli1,Person,26,5,26.jpg,..\psychophysics_WM\stimuli1\Person\26.jpg,0.8865722417831421,0.8170762658119202
stimuli1,Person,27,5,27.jpg,..\psychophysics_WM\stimuli1\Person\27.jpg,0.8368090987205505,0.824878454208374
stimuli1,Person,28,5,28.jpg,..\psychophysics_WM\stimuli1\Person\28.jpg,0.7327787280082703,0.8172447085380554
stimuli1,Person,29,5,29.jpg,..\psychophysics_WM\stimuli1\Person\29.jpg,0.7793214321136475,0.7787140607833862
