first_cat,second_cat,probe_pic,probe_validity,first_pic_idx,second_pic_idx,correct_answer
4,1,1,0,27,19,0
3,1,2,1,12,28,5
2,1,1,1,23,18,5
3,1,1,0,20,24,0
2,4,1,1,21,28,5
1,1,2,1,12,15,1
3,2,2,1,11,18,1
4,4,1,1,29,14,5
2,2,2,0,29,11,0
1,4,2,0,29,25,0
3,4,1,1,27,18,5
3,4,1,1,22,16,5
2,2,1,0,24,26,0
1,4,1,1,21,15,5
1,3,1,1,21,11,5
4,4,2,1,15,14,1
4,3,1,1,28,10,5
2,2,1,1,11,21,1
1,2,1,1,12,18,1
3,2,1,0,11,21,0
3,2,2,1,21,12,1
2,2,1,1,22,17,5
3,2,1,0,15,29,0
2,4,1,1,21,11,5
1,1,2,1,21,26,5
2,2,2,1,14,18,1
3,2,2,1,10,15,1
3,2,2,1,15,10,1
3,3,2,1,29,23,5
3,4,1,0,28,11,0
4,4,1,1,11,24,1
1,3,1,1,23,17,5
2,1,2,1,27,21,5
1,1,2,1,27,28,5
3,4,1,0,20,10,0
1,4,1,1,28,22,5
1,4,1,0,10,14,0
3,1,2,0,21,19,0
3,3,2,1,24,18,1
2,3,2,1,26,15,1
1,1,1,1,12,17,1
4,2,1,0,13,29,0
4,2,2,1,17,13,1
2,4,2,1,28,17,1
3,4,1,1,26,19,5
2,4,2,1,23,11,1
2,4,2,1,22,28,5
2,4,2,0,13,10,0
3,3,1,1,16,11,1
1,3,2,0,15,29,0
1,1,2,1,15,14,1
2,3,2,1,18,25,5
3,1,1,1,29,28,5
4,2,1,0,18,22,0
2,3,1,1,28,29,5
2,1,2,1,20,22,5
4,1,1,1,27,14,5
4,2,2,0,17,28,0
1,1,1,1,23,20,5
4,3,2,1,21,20,5
1,4,2,0,22,14,0
2,3,2,0,25,27,0
4,4,1,1,22,24,5
1,2,2,1,25,28,5
4,4,2,1,10,11,1
4,3,2,0,14,17,0
4,3,2,1,17,22,5
3,2,2,0,22,10,0
1,1,1,0,11,12,0
3,4,1,1,19,15,1
1,2,2,0,22,13,0
4,3,1,0,14,10,0
4,2,1,0,16,13,0
3,4,2,0,12,14,0
3,1,2,1,21,20,5
2,2,2,0,11,29,0
2,4,2,1,28,11,1
1,3,2,1,23,27,5
1,3,2,0,27,24,0
3,4,1,0,13,20,0
3,1,2,1,15,11,1
1,2,1,0,20,15,0
1,3,1,1,16,17,1
4,2,2,1,14,27,5
4,1,2,1,27,26,5
1,2,2,1,29,25,5
2,3,1,0,16,27,0
4,4,1,1,24,22,5
4,2,2,0,16,27,0
1,4,2,1,12,28,5
4,3,1,1,27,20,5
4,3,1,0,14,20,0
2,3,2,0,14,23,0
3,4,2,0,28,24,0
1,1,1,0,21,20,0
2,2,2,1,11,21,5
2,3,1,1,26,10,5
4,1,1,0,18,25,0
2,3,1,1,29,18,5
3,4,2,1,12,15,1
3,3,2,1,24,14,1
1,3,2,0,18,10,0
3,3,1,0,13,19,0
2,1,2,0,18,26,0
3,2,2,1,14,24,5
4,1,2,0,26,28,0
2,1,2,1,22,10,1
3,2,2,0,10,12,0
1,3,1,1,18,26,1
2,1,1,1,12,22,1
4,4,1,1,18,10,1
2,2,2,1,12,20,5
3,2,1,0,27,25,0
4,2,1,1,10,25,1
4,1,1,1,17,16,1
2,3,1,1,23,16,5
2,4,1,1,13,12,1
1,4,1,1,21,16,5
3,1,2,1,10,29,5
3,3,1,1,28,11,5
3,1,2,1,29,17,1
1,4,2,0,11,19,0
2,1,1,1,23,24,5
3,1,2,1,24,19,1
3,1,2,1,16,21,5
2,3,2,1,15,27,5
1,2,2,1,18,16,1
4,3,1,1,11,27,1
2,1,2,0,26,16,0
4,4,1,1,25,24,5
4,4,2,1,10,12,1
2,2,1,1,22,10,5
2,4,1,0,15,21,0
1,4,1,1,13,18,1
1,1,2,1,20,25,5
1,3,2,0,25,12,0
1,2,1,1,13,19,1
1,2,2,1,23,13,1
1,1,1,0,14,28,0
1,1,1,1,16,12,1
2,2,2,0,19,24,0
2,2,1,1,23,14,5
2,2,2,1,10,12,1
2,3,1,1,12,29,1
4,1,1,1,15,25,1
3,1,2,1,15,11,1
2,4,1,1,11,24,1
4,1,1,1,16,11,1
3,2,1,1,28,17,5
1,1,1,0,18,26,0
2,1,2,1,11,23,5
2,3,2,1,26,22,5
1,4,2,1,29,25,5
3,3,1,1,25,11,5
4,3,1,1,20,11,5
4,1,1,0,15,18,0
3,3,1,1,13,23,1
4,4,2,1,23,22,5
3,4,2,1,13,14,1
1,2,1,1,12,25,1
4,1,1,1,11,26,1
2,3,1,1,29,15,5
4,2,2,0,22,23,0
3,3,1,0,20,12,0
3,2,2,1,23,13,1
2,2,1,0,13,17,0
1,4,1,1,18,10,5
3,4,2,1,12,11,1
2,1,2,1,21,27,5
4,4,2,1,29,10,1
2,1,2,0,18,16,0
2,3,2,1,18,21,5
4,1,1,0,12,20,0
2,1,2,0,16,13,0
2,3,2,1,20,17,1
4,3,1,0,22,16,0
1,4,1,0,14,28,0
4,3,2,0,26,14,0
4,3,1,1,10,21,1
3,4,2,0,29,22,0
2,4,2,0,29,25,0
4,1,1,0,13,11,0
1,4,1,0,28,16,0
1,3,1,1,16,11,1
1,2,1,0,27,14,0
2,1,1,1,16,11,1
4,1,2,1,22,13,1
3,4,1,1,17,29,1
1,2,2,1,23,29,5
4,2,2,0,14,18,0
2,4,1,0,22,17,0
2,2,1,1,10,18,1
1,4,1,0,11,13,0
2,1,2,0,11,21,0
4,3,1,1,24,27,5
3,3,1,1,17,11,1
1,3,2,1,21,19,1
3,2,1,1,20,23,5
1,1,1,1,25,23,5
2,4,1,0,12,10,0
3,2,2,1,24,16,1
3,3,1,0,17,28,0
3,1,2,1,29,27,5
1,3,2,1,28,27,5
4,1,1,1,12,28,1
3,1,2,0,15,14,0
1,4,1,1,12,22,1
4,4,1,1,18,23,1
3,2,1,1,16,25,1
2,2,1,1,28,14,5
4,4,2,1,26,20,5
2,4,1,1,17,11,1
2,2,2,1,12,24,5
4,1,2,0,21,12,0
1,2,2,0,23,28,0
1,1,2,0,29,10,0
2,4,1,1,25,15,5
3,4,2,0,15,19,0
1,2,2,1,29,13,1
3,4,2,1,21,13,1
2,3,2,0,26,14,0
4,2,2,1,13,11,1
4,4,1,0,15,27,0
1,1,1,0,19,25,0
1,3,2,0,23,15,0
3,1,1,0,21,29,0
3,3,1,1,20,16,5
3,2,2,1,18,19,1
1,4,1,1,22,12,5
1,1,2,1,19,29,5
2,2,2,0,17,27,0
4,3,2,1,22,18,1
3,3,1,1,26,27,5
4,2,1,1,23,19,5
1,2,1,1,11,26,1
3,2,2,1,25,19,1
3,3,2,1,20,19,1
2,1,2,1,18,17,1
4,4,2,1,18,29,5
4,4,1,1,10,12,1
2,3,1,1,26,28,5
1,4,2,1,23,24,5
2,4,1,1,29,26,5
4,1,1,0,17,19,0
1,3,2,1,17,25,5
2,1,1,0,21,29,0
2,3,2,1,12,28,5
2,1,1,1,19,29,1
3,1,2,1,29,24,5
3,4,1,1,28,29,5
4,2,2,1,24,14,1
4,1,2,1,22,14,1
4,2,1,0,21,12,0
1,2,1,1,15,22,1
1,3,2,0,10,18,0
1,2,1,0,19,25,0
4,3,1,1,24,27,5
4,4,2,1,18,29,5
2,1,1,1,17,19,1
3,1,2,1,10,19,1
3,1,1,1,14,21,1
4,3,1,1,16,18,1
1,3,1,0,12,28,0
1,4,2,0,20,29,0
3,4,2,1,23,11,1
4,3,2,0,20,13,0
1,1,2,1,10,19,1
3,3,2,0,26,18,0
2,2,1,1,19,12,1
4,3,1,0,21,12,0
4,2,1,1,24,23,5
1,2,2,1,24,20,5
2,4,2,0,27,13,0
1,3,2,1,19,24,5
1,2,2,0,27,28,0
4,4,2,1,22,24,5
3,3,1,1,14,12,1
3,3,1,1,25,19,5
3,2,1,0,14,17,0
2,4,2,0,18,25,0
1,1,2,1,17,28,5
3,1,1,1,18,14,1
4,2,1,0,27,10,0
3,3,2,1,29,15,1
4,2,2,1,20,18,1
4,2,2,1,19,28,5
1,3,1,1,14,28,1
4,1,1,1,12,17,1
