error_type,key,first_num,second_num,probe_pic,probe_cat,probe_validity,first_cat,second_cat
same category,5,5,1,2,3,0,2,2
same category,5,5,5,1,3,0,2,2
swap error,5,1,5,1,2,0,3,2
other error,5,5,1,1,4,0,3,4
other error,5,5,1,1,4,0,3,4
swap error,5,1,5,1,2,0,4,2
swap error,1,1,5,2,1,0,1,3
swap error,5,1,5,1,2,0,4,2
other error,5,1,5,2,4,0,4,2
swap error,5,5,1,2,1,0,1,4
swap error,5,5,5,2,2,0,2,3
other error,5,1,1,2,4,0,4,3
swap error,5,5,1,2,3,0,3,2
same category,1,1,1,1,4,0,1,1
swap error,5,5,1,2,1,0,1,2
swap error,1,1,1,1,3,0,4,3
swap error,1,1,1,1,2,0,4,2
other error,5,1,1,2,3,0,3,4
same category,1,1,5,2,3,0,2,2
other error,5,5,1,2,4,1,2,4
swap error,5,5,5,2,1,0,1,3
swap error,5,1,5,1,4,0,3,4
swap error,1,5,1,1,2,0,1,2
swap error,5,1,5,1,3,0,2,3
other error,5,1,5,2,4,0,4,2
other error,1,1,5,1,3,0,4,3
swap error,1,1,5,2,2,0,2,3
same category,1,5,5,1,4,0,1,1
swap error,5,1,5,1,1,0,4,1
other error,5,1,1,2,4,1,3,4
same category,5,5,1,2,3,1,3,3
swap error,1,1,5,2,2,0,2,1
swap error,5,5,5,2,4,0,4,1
swap error,1,1,1,2,3,0,3,2
same category,5,1,1,1,4,1,4,4
swap error,5,5,1,2,2,0,2,1
same category,0,5,5,1,4,1,4,4
swap error,5,5,1,2,1,0,1,3
other error,5,1,5,1,2,1,2,4
swap error,0,1,1,1,4,1,4,1
same category,5,1,5,1,4,0,1,1
swap error,0,5,5,2,4,1,1,4
swap error,0,5,1,1,4,1,4,3
same category,5,1,5,1,3,1,3,3
other error,5,1,1,2,4,1,3,4
other error,5,1,5,1,1,1,1,2
other error,5,1,5,1,4,1,4,1
swap error,0,5,1,1,2,1,2,3
swap error,5,5,5,2,4,0,4,2
same category,5,5,1,1,2,0,3,3
same category,1,1,1,1,3,0,2,2
other error,1,1,1,1,1,1,1,4
swap error,1,1,1,2,2,0,2,1
swap error,5,1,5,1,1,0,4,1
swap error,1,1,1,2,2,0,2,1
other error,5,5,1,2,3,1,2,3
swap error,1,5,1,1,3,0,4,3
swap error,5,1,5,1,4,0,1,4
swap error,0,1,5,1,4,1,4,3
swap error,5,5,5,2,2,0,2,4
swap error,0,1,1,1,2,1,2,1
other error,5,1,5,1,3,1,3,4
swap error,0,5,1,2,3,1,1,3
swap error,1,1,1,1,4,0,2,4
other error,5,5,1,2,2,1,3,2
swap error,0,1,5,1,4,1,4,1
same category,0,5,5,2,4,1,4,4
swap error,0,5,1,2,3,1,4,3
same category,0,5,1,2,3,1,3,3
same category,5,1,1,1,4,1,4,4
swap error,1,1,1,2,1,0,1,3
swap error,0,1,1,1,2,1,2,1
other error,1,1,5,1,3,0,1,3
swap error,5,5,5,2,1,0,1,4
swap error,0,5,1,2,4,1,3,4
swap error,5,5,1,2,4,0,4,3
swap error,1,5,1,1,3,0,4,3
swap error,0,5,5,1,4,1,4,2
swap error,5,5,1,2,2,0,2,4
swap error,1,1,1,1,2,0,3,2
same category,1,1,5,2,1,1,1,1
swap error,0,1,5,2,2,1,4,2
other error,5,1,5,1,1,1,1,3
swap error,5,1,5,1,2,0,3,2
other error,5,5,1,2,2,1,3,2
same category,1,5,1,1,2,1,2,2
other error,5,5,1,2,4,1,3,4
swap error,5,5,1,2,2,0,2,3
same category,1,1,5,1,1,0,4,4
swap error,5,5,5,1,1,0,3,1
other error,5,5,1,2,2,1,1,2
same category,5,1,5,2,3,0,2,2
same category,1,5,1,1,2,1,2,2
swap error,0,1,5,1,4,1,4,1
swap error,0,1,1,2,1,1,3,1
swap error,0,1,5,1,4,1,4,2
other error,1,5,1,1,2,1,2,3
swap error,0,5,1,1,1,1,1,4
same category,0,5,1,1,3,1,3,3
swap error,1,1,1,2,1,0,1,4
